usuario_id,nombre,edad,pais,tiempo_sesion_min,estado,suscripcion,clicks,compras
1,Ana,23,Colombia,40,activo,free,120,1
2,Juan,30,México,10,inactivo,free,30,0
3,Sofía,28,Chile,25,activo,premium,90,2
4,Pedro,19,Perú,50,activo,free,200,3
5,Luis,35,Colombia,60,activo,premium,150,4
6,María,29,Mexico,20,activo,free,80,1
7,Carlos,,Chile,15,inactivo,free,15,0
8,Lucía,22,Perú,45,activo,free,110,1
9,Ana,23,Colombia,40,activo,free,120,1
10,Juan,30,México,10,inactivo,free,30,0
11,Sofía,28,Chile,25,activo,premium,90,2
12,Pedro,19,Perú,50,activo,free,200,3
13,Luis,35,Colombia,60,activo,premium,150,4
14,María,,México,20,activo,free,80,1
15,Carlos,27,Chile,quince,inactivo,free,15,0
16,Lucía,22,Perú,45,activo,free,110,1
17,Andrés,18,Colombia,12,activo,free,20,0
18,Daniela,26,Argentina,35,activo,premium,95,2
19,Bruno,41,Brasil,28,inactivo,free,40,0
20,Camila,24,Colombia,25m,activo,free,70,0
21,Diego,31,México,,activo,premium,130,2
22,Elena,27,Chile,30,activo,free,60,1
23,Felipe,33,Perú,55,inactivo,free,45,0
24,Gabriela,21,Argentina,18,activo,free,50,0
25,Héctor,39,Brasil,42,activo,premium,100,2
26,Iván,29,Colombia,33,activo,free,65,1
27,Juliana,20,Mexico,22,inactivo,free,25,0
28,Kevin,23,Perú,47,activo,free,85,1
29,Laura,28,Chile,26,activo,premium,88,1
30,Mateo,34,Colombia,NaN,activo,premium,140,3
